competitor,product,source_platform,review_id,date,rating,title,body,reviewer_name,is_verified,is_recommended,helpful_count,reviewer_attributes
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,310729d28430cdd4,2026-02-08T00:00:00,,Not worth it,I had traction alopecia (like very minimal) near my temples because of tight braiding. I used one bottle - twice per week. I observed hair growth. I have repurchased and hoping I see more growth. It’s really effective for the price point.,Pikamonique,False,True,6,"{""hair_color"": ""Blonde""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,62d451a76c47dad6,2026-02-08T00:00:00,,Just gross.,It made my hair greasy and caused dandruff. Was not worth it.,LSc0tt,False,False,3,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,e4f6fc4183770aea,2026-02-05T00:00:00,,,Awful. Super greasy and makes your hair feel super gross. I wanted to wash my hair immediately after applying this. I could not return this fast enough.,melissam4,False,False,4,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,d6dc2a2c0b4210a6,2026-02-05T00:00:00,,Love,AMAZING! After every shower I put a few drops where I’m experiencing hair loss then I massage it in. I thought it would make my hair oily but it doesn’t I just leave it in. I’ve been using it for a couple months now and I’d like to say it’s helping!,sousou4,True,True,8,"{""hair_color"": ""Brown""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,22e0668b020dece5,2026-02-05T00:00:00,,Only product that works for me!,"As someone who has PCOS, hypothyroidism and Hashimoto’s I struggle with hair growth and hair loss. I’ve tried many products and techniques with minima to no success. My hair heath has gotten worse over the years and refused to grow. I bought this and was already noticing a difference pretty fast! It wasn’t much but it was certainly better than anything else I’ve tried! And I was necessarily as consistent as I should be. Now I did also do. GI map and found candida and as we’ve coworker on that my hair growth is finally improving a lot more. I strongly believe what goes on inside impacts outside! But this is still the only hair product I would buy again for growth and healthier hair. First time I’d ever seen baby hairs for a while after I first started using it!",JanelleRoes,False,False,7,"{""hair_color"": ""Brown""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,d5f49836d84ef890,2026-02-04T00:00:00,,Makes scalp flakey,Bought this about four years ago and stopped using it before I was finished with the bottle. Didn’t repurchase after. I’ve been on a hair care journey lately and wondered why I stopped using this. Then the flakes reminded me.,AnaandCoco,False,True,9,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,80b3af76723e9bc3,2026-02-02T00:00:00,,The proof is in the pudding,I have been using this product for over 3 months now the best thing every. My hair feels and looks so thick,Kirat2211,False,True,5,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,484b58785eea0f66,2026-01-28T00:00:00,,,I think the proof is in the pudding. The first picture was taken in February of 2025 the second picture was taken in July of 2025,NestyBesty,False,True,46,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,667d9d4d1a32a095,2026-01-26T00:00:00,,,I just noticed red spots all over after i used this product,yrrehs,False,False,6,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,3ebb5b3a2e8dee44,2026-01-25T00:00:00,,Try it. But not necessary.,"Not sure if this is effective or not, makes my hair so greasy so it sucks to use on freshly washed hair.",leoluvsu,True,True,5,"{""hair_color"": ""Brown""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,cbfbd4b55659171a,2026-01-24T00:00:00,,Great especially for the price!,I’m not seeing a difference. But I’m also not seeing any negative results either. It’s a whatever product.,kmak4,False,False,4,"{""hair_color"": ""Auburn""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,d33a0f745eff5cc8,2026-01-23T00:00:00,,too greasy for me,"Very happy with these results. I will continue to repurchase in the future, if needed. ** New growth in the very back sitting up**",JMBrew,False,True,8,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,c86ac9b35c324e77,2026-01-21T00:00:00,,It actually works but takes time,"leaves hair extremely greasy after just one use too, so I can’t use the product nightly like it suggests (ie don’t want to use on freshly washed hair). with that, I am not sure if it’s actually working or not given usage isn’t nightly.",SauvyBri,False,True,2,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,43bb2ed914e484eb,2026-01-20T00:00:00,,,My husband is using this oil from last three months continuously it works but you won’t see results quickly so u have to give it try for few weeks/months .,Amn5,False,True,5,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,402f97979a6f1379,2026-01-19T00:00:00,,,After the past couple of weeks of me using this product I have noticed more hair coming out in the shower or when I brush it than usual.,auburndelbel,False,False,4,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,6393c11aec9ce17b,2026-01-16T00:00:00,,Not Gluten-free! Be cautious!,This product is NOT safe for those with a gluten allergy! Mislabeled as gluten-free. Product contains triticum vulgare germ extract. Broke out in a horrible rash. Reached out to customer service to try and get the site fixed. Buyer beware.,beautyy8998,True,True,6,"{""hair_color"": ""Brown""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,783939a87429cb18,2026-01-13T00:00:00,,Excellent!,Have noticed baby hairs already coming! Have been trying it for probably two weeks now and notice less shedding and hairs starting to form,FormulaSkincarr,False,False,4,"{""hair_color"": ""Black""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,dc4161eabf379fcf,2026-01-11T00:00:00,,Baby Hairs Everywhere,"I’m in my early twenties and recently dealt with a stressful summer that caused some light hair loss especially at the hairline, nothing crazy but enough that it hurt my pride. So I looked at the ouai and other serums but really couldn’t justify the price so I settled on this and I’m so glad I did! I have used it about every other day for a month and I still have half the bottle left. It’s lightweight and doesn’t make my hair look greasy but it’s the effectiveness that really sells it. I have baby hairs and flyaways everywhere and my hairline especially around the two corners where most of the loss was is slowly filling back in. Maybe you need something stronger for hormonal or genetic hair loss but for stress, poor water quality, tension, or more superficial problems this is perfect.",SelfCareMatters,False,True,11,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,96c8743de8bf1a71,2026-01-05T00:00:00,,This WORKS.,"Holy wow. Ok. The ordinary skin care never works for me. But THIS??? Game changer. I’ve been using this consistently everyday for almost 2 weeks now and I can already see and feel a difference. I usually have super dry, itchy scalp and my hair got greasey FAST. I don’t know what type of witchcraft they put in this, but I haven’t struggled with any of those issues since. I use it every night before bed, if I miss a night I put it in the morning, and it HELPS!!!! It doesn’t leave that greasy feeling or look after 10 ish minutes of applying, I put all my friends and family on this. MY HOLY GRAIL",TorTor420694,False,True,16,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,885ef2a76a055512,2026-01-05T00:00:00,,Retain your hair,A great affordable product to help with hair shedding & gives a gentle boost to hair density. There's no burning/tingling & doesn't make hair look greasy. I recommend pairing this with Nizoral shampoo & Viviscal hair growth vitamins if you want a non medicated approach to hair shedding.,,False,True,9,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,1548add7fb920518,2026-01-05T00:00:00,,,Awesome product really works well!! my hair is thick now!,,False,True,1,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,956c1c64f62be295,2026-01-04T00:00:00,,1 month progress,"1 month progress, i can really see the difference! im quite satisfied with the results. it does feel quite heavy however as my hair is fine and straight",be1ya,True,True,28,"{""hair_color"": ""Brown""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,f82a83186c999362,2026-01-02T00:00:00,,Don't expect this to work overnight!,This does very well when it comes to moisturizing my scalp(i have dry scalp). And i do notice my hair has been thicker using it.,KayEast,False,False,2,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,1725d9c856c3a1c1,2026-01-02T00:00:00,,Useless product,"I’ve been using this product consistently every night before bed for the past month and have noticed less breakage when I brush my hair. I’m trying to regrow some stress-related hair loss, and so far the reduced breakage feels like a good sign that change is happening. Also because product isn’t oily or sticky you don't feel the need to wash your hair more often (which can cause your hair to get weaker). I’d also recommend pairing this with a gentle scalp massage and a scalp scrubber to really work the product in.",Jaded505,False,True,5,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,8291dc0f9e104a3c,2025-12-30T00:00:00,,,Absolutely useless product!! Does nothing to your hair!!! In have been using it consistently for two months now and don’t even see a slight difference,KIKI123450,False,True,10,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,889b85bdb04b6e6f,2025-12-28T00:00:00,,,I bought this for my boyfriend because his hair was thinning and I can honestly confirm his hair grew and even came back thicker. 100% would recommend.,anavamaya0,False,True,5,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,322bf2c16d0a8338,2025-12-19T00:00:00,,,"I don’t recommend this product I will return, makes my hair extremely frizzy, unmanageable don’t recommend.",Lb0626,False,False,6,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,44863c3afd2876dd,2025-12-14T00:00:00,,Healthy hair/scalp and real results,I’ve seen results I’m convinced. I’ve tried other serums for 2-3 months and this is the only product that’s shown noticeable results right away. My hairline is filling in and my hair/scalp is healthier! healthy,JessyPasch,False,True,7,"{""hair_color"": ""Brown""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,1dfc58cc1e43d81a,2025-12-02T00:00:00,,Lightweight serum that actually works,My mom had very thinning hair and two small bald spots on her scalp and with this in a span of 2 weeks her scalp has tons of new growth and with me I have seen a lot of new growth. Highly recommend thinning and wait,sevdarg,False,False,13,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,78513807ca4e8ffc,2025-11-20T00:00:00,,Non-greasy and lightweight!,"I recommend you try the product on your hair (in the store) before buying it. I thought it would work for me, but it didn't. My scalp itched, not just the first day I used it, but for 2 to 3 days afterward, and I noticed more hair loss. I tried it for a week, then took a week off and tried it again. I felt the same itching when I used it again.",Niicki001,False,True,14,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,6c29ca93897d14a3,2025-11-18T00:00:00,,,"Its amazing My hair feel fuller, i see new baby hair and this is not greasy at all. Love it",fatimaa850,False,True,2,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,581f5b293a207006,2025-11-11T00:00:00,,,"I noticed less hair fall and stronger roots after a few weeks. It’s lightweight, non-greasy, and easy to apply with the dropper. It truly works as long as you keep using it — once you stop, the results fade gradually. Still, it’s a great boost for scalp health and hair strength. 🌿",rusulsf,False,True,17,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,56daa80e0365549c,2025-11-10T00:00:00,,,"It does take a long time to show results but with consistency, it will definitely give positive results.",Bhavleen1307,False,True,2,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,9d1ec10999a1ab72,2025-11-10T00:00:00,,Waste of money,Used daily and it did not do anything......... ....,DasEinhorn,True,True,3,"{""hair_color"": ""Blonde""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,e884b890298b1ba9,2025-11-10T00:00:00,,healthy hair,"I went through the worst hair fall phase. I’ve been using this serum for about 2.5 weeks now, and I must say—it’s been a game changer. My hair fall has reduced significantly. The key is consistency.",ashnair,False,False,8,"{""hair_color"": ""Brown""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,7a57abd5a81f8ad3,2025-11-09T00:00:00,,So far so good,"Being using this product for some time now, the results are good. It’s not very drastic but there is still improvement. I think I’ll give this product some more time.",Skypp,False,True,4,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,5a294a6894c26ecc,2025-11-09T00:00:00,,Itchy rash,"Itchy rash after used at night, used for 2-3 times .. looks so bad",eamsa,False,True,11,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,75abf60e5e387e14,2025-11-09T00:00:00,,Hair growth within 3 weeks.,I’ve been using this product for 3 months and I notice less shredding !,tryingtosoothe,False,True,1,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,d608765479818042,2025-11-08T00:00:00,,,"This actually works. I experienced sudden hair loss exacerbated by a bad product that lead to my shedding almost half of my total hair density in the span of a month! I have fine, thin yet generally strong hair, but noticed that through the hair loss event not only did my scalp get very sensitive and develop a dull ache, but also my existing hairs displayed a weakened effect (would bend and get indented easier than usual), both of which were first-time experiences for me. I'm sharing this only because I feel the efficacy of this product might have something to do with my personal situation (which is not chronic), and may or may not be helpful for others. With all this being said - I noticed substantial hair growth within 3 weeks! Currently its been about 5, and I am going to need a hat now, as it looks like I have a buzz cut underneath the rest of my hair - that's all of the new growth forming! I am so excited and so thankful to experience such a quick turnaround in my situation. Also, I did take a daily hair/nail (biotin) supplement to enhance any effects, and although I'm sure its helped my results, I know that this product was the superhero in all of this, because I noticed hair growth only happening in my application areas. One side of my head is absolutely teeming with growth and if I had known 5 weeks ago this would work so well, I would have applied it more evenly throughout. Let my experience be a tip for you. Highly highly recommend you give this product a try - and if you do, make sure to apply evenly all over :)",,False,False,40,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,977c18c17fc32c15,2025-11-06T00:00:00,,Must have always,One of my most favourite hair serums at a very reasonable price. Love it,Yakuts,True,True,2,"{""hair_color"": ""Blonde""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,dae67263e7dcddbb,2025-11-06T00:00:00,,100% WORKS!,"This thing works. I’ve probably bought 8 bottles or more in the past 2 years since going on a hair journey since having it buzzed clean off for like 4 years. Anyways. This is an unreal product. I had some hair thinning in my temples and this has brought it back. Went and got a haircut the other day, my girl says “that’s new hair growth!” And points to my crown. I thought it was frizz!! It’s not, it’s little baby hairs!! If you’re experiencing thinning or shedding, or just have dull hair this does everything. Seriously. Healthiest hair ever.",hottttieebl0ndy,False,False,14,"{""hair_color"": ""Black""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,1117d429bb7abfda,2025-11-06T00:00:00,,Major hair fallout,"I've been experiencing hair thinning in the past 2 years. After reading many positive reviews, I decided to give this a try. I watched related videos and understood that it could take a while for the product to work. Applied this serum diligently daily and unfortunately this formulation did not work for my scalp/hair type (fine hair). I used it for 6 weeks, it resulted with more hair falling and worsening my hair thinning situation. Now the hair gap is even more noticeable. I'm in search of other remedies.",Kohitsuji,False,True,20,"{""hair_color"": ""Brown""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,10a51a01d7b71b15,2025-11-04T00:00:00,,Works!,I have baby hairs coming in on by my temples but nothing yet on the crown.,udluv,False,True,1,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,d4e72e8c658eeb20,2025-11-03T00:00:00,,Weighs Down Fine Hair.,"So while I am a firm believer in Nina Pool this one fell a little short. I have fine hair (thanks PCOS) and this serum just weighed it down so much. I applied at night and would like my hair dry before going to bed. However it took me from being able to wait to wash every 3-4 days to needing to wash every other day. In all honesty used it less than a month and plan on returning it. I didn’t notice any difference in my hair but that’s not my issue. I think the product COULD work, but the way it makes my hair feel isn’t worth waiting around to find out.",ThisIsntAdvice,False,True,14,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,f7881e323c32fd62,2025-10-30T00:00:00,,,Hair regrowth is a very tedious process that requires consistency. I use a different product at night time and this serum when I wake up. I am seeing results after about a month of consistent use.,Bec2000,False,False,5,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,beb92021953ca933,2025-10-29T00:00:00,,Growing baby hairs,"After using this product for a few months on the top of my head at night, I’m growing small baby hairs. Proves to me it works. They look funny cus they are long lol",StarX0,False,True,20,"{""hair_color"": ""Black""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,2f0122a1288a9ef1,2025-10-27T00:00:00,,Water lol,No change. It seems to be really diluted too. Seems to be more like water than anything else. Really disappointed. Used to like ordinary products but it seems like they're getting more and more diluted,Goombiee,False,False,3,"{""hair_color"": ""Black""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,3a5b8a0b0b95398d,2025-10-27T00:00:00,,ah-mazing,second time buying. obsessed and you will definitely notice fuller hair. amazing product,Miekaj03,False,True,1,"{""hair_color"": ""Black""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,95362a06f4f85174,2025-10-22T00:00:00,,No thanks.,For the price it’s alright but there are better alternatives,SAnikita,False,True,3,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,e70743ac0d6af14e,2025-10-22T00:00:00,,,"I won’t buy it again. I had another serum that I had a reaction to so I tried this instead. While thankfully i’m not allergic to it, I don’t like it. My hair feelings gross when I go to bed. This might be nice if you was more regularly unlike myaelf",brookieleigh,False,False,0,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,14a6b6ba58bd687f,2025-10-17T00:00:00,,,"I’ve been using the Multi-Peptide Serum for Hair Density, and I can already see a difference! My hair feels thicker, fuller, and healthier overall. The serum is lightweight, non-greasy, and absorbs quickly into the scalp. With consistent use, I’ve noticed less hair fall and more volume, especially around my roots. It’s definitely one of the best products I’ve tried for improving hair density—I highly recommend it!",Fabanu,False,False,1,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,c1be4f391b10c9c2,2025-10-07T00:00:00,,Noticeable difference in just weeks,"I’ve been using The Ordinary Multi Peptide Serum for Hair for about a month, and my hair already feels thicker and stronger. The serum is lightweight and absorbs quickly without leaving any greasy feel. I apply a few drops at night, and by morning my scalp feels refreshed, not oily. I’ve noticed less shedding and small new hairs growing along my hairline. It’s gentle, affordable, and really works. This has become a staple in my hair care routine.",tarafaryabi,False,True,7,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,2d11fb48de30bbc4,2025-10-07T00:00:00,,10/10 takes some time to see results,"10/10 but consistency is key!! I’ve been using this product consistently for almost a year now, and I genuinely see so much of a difference. For reference, I have very fine “white girl hair.” I have noticed so much hair growth with baby hairs and now I’m really looking at how full my scalp is, and I’m so glad I’ve stuck with this product. Definitely recommend my scalp is so much fuller.",destinyg312,False,False,22,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,c9dfe68e4aa1a4e4,2025-10-06T00:00:00,,Consistency pays off,"I wasn’t expecting much, but this serum really surprised me. After about 6–8 weeks of consistent use, I started noticing small baby hairs along my hairline — something I haven’t seen in a long time! It doesn’t feel heavy or greasy, and it absorbs well into the scalp. I’m honestly impressed, especially for the price. I’ll definitely be repurchasing and keeping it in my routine.",Lalitha082022,False,True,4,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,be526775ca408f78,2025-10-06T00:00:00,,Love it! Recommend,Been using for a few months along with nioxin for light thinning hair routine and am seeing great results - will take a while but consistency is key 😝,Phatnicki,False,True,1,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,cb5159c823d19f47,2025-10-06T00:00:00,,,I like it so far and want to buy second one. I wish this goes on sale cause I feel like it’s a bit pricey :(,oioipoo,False,True,0,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,06923409b9be1716,2025-10-05T00:00:00,,,"Used this product over the last 6 months, and I feel like for my hair (fine, medium thickness, naturally wavy) it has been the most effective I’ve tried for making my scalp less visible. I use it a few times times a week before bed and use a silicone scalp massager for a few seconds to rub it in.",KClayton7,False,True,2,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,61dfe6c9aabad79b,2025-10-05T00:00:00,,Every week hair care product,This is my favourite hair care product. I finished two bottles before and almost done with the third one. I really want Sephora to make a huge bottle for this one. Amazing results.,PKDasaur,True,True,2,"{""hair_color"": ""Red""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,f41cccd5066d0c34,2025-10-02T00:00:00,,Worth it,"I really wanted to like this product but the smell is so overpowering that I had to rinse it out of my hair after 30 minutes. Even a day later, the smell still lingered on my hairbrush and I had to wash it. Unfortunately I am",atpatp,False,True,5,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,6729a18e05ccb2c2,2025-09-26T00:00:00,,Dropper is annoying.,"Lightweight, non-greasy, and super easy to use. I’ve been applying this serum nightly, and after a few weeks my hair looks fuller with less shedding. It’s not instant, but with consistent use the results are worth it. Affordable, effective, and gentle on the scalp — definitely recommend!",tepidwilma,False,True,1,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,eb9183a5022c4839,2025-09-25T00:00:00,,DO NOT USE IF YOU HAVE FACIAL NERVE PAIN,"I have been using this product once a day every day for a month and haven’t noticed a difference (yet?). My biggest complaint is that the dropper doesn’t actually hold the serum and it tends to drip everywhere. Other than that, decent product, hope to see results soon!",Haylsssssssssss,False,False,0,
